brand_name,article_name,gender,fitting_type,Label_Size,Standard_Size,Waist,Inseam_length,Leg_opening,unit
Amazon Brand - House & Shields,Trouser,Male,Regular Fit,XXL,XXL,,,,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
Novarc,Trouser,Male,Slim,28,28,29-30,34,9.5,inches
Novarc,Trouser,Male,Slim,32,32,33-34,34,10,inches
Novarc,Trouser,Male,Slim,36,36,37-38,34,10.5,inches
Novarc,Trouser,Male,Slim,40,40,41-42,34,11,inches
Novarc,Trouser,Male,Slim,30,30,31-32,33.50,10.25,inches
Novarc,Trouser,Male,Slim,34,34,35-36,33.50,10.75,inches
Ezee Sleeves,Trouser,Male,Regular,S,Small,28-30,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,M,Medium,32,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,L,Large,34-36,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,XL,X-Large,38-40,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,2XL,2X-Large,42-44,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,3XL,3X-Large,46-48,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,4XL,4X-Large,50-54,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,5XL,5X-Large,56-60,33,45,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,28,28,29,32,13,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,36,36,37,32,15,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,32,32,33,32,13,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,28,28,29,32,12.5,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,36,36,37,32,14.5,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,32,32,30-34,29,10,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,28,28,29,32,13,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,36,36,37,32,15,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,32,32,33,32,13,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,28,28,29,32,12.5,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,36,36,37,32,14.5,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,32,32,30-34,29,10,inches
Van Heusen Sport,Trouser,Male,Slim,28,28,28,33,,inches
Van Heusen Sport,Trouser,Male,Slim,30,30,30,33,,inches
Van Heusen Sport,Trouser,Male,Slim,32,32,32,33,,inches
Van Heusen Sport,Trouser,Male,Slim,34,34,34,33,,inches
Van Heusen Sport,Trouser,Male,Slim,36,36,36,33,,inches
Van Heusen Sport,Trouser,Male,Slim,38,38,38,33,,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,29,32,13,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,35,32,14,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,29,32,12,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,35,32,13,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,26-30,29,9,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,32-36,29,10.5,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,29,32,13,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,35,32,14,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,29,32,12,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,35,32,13,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,26-30,29,9,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,32-36,29,10.5,inches
Diverse,Trouser,Male,Slim,30,30,32,33,,inches
Diverse,Trouser,Male,Slim,32,32,34,33,,inches
Diverse,Trouser,Male,Slim,34,34,36,33,,inches
Diverse,Trouser,Male,Slim,36,36,38,33,,inches
Diverse,Trouser,Male,Slim,38,38,40,33,,inches
Pepe Jeans,Trouser,Male,Slim,28,X-Small,29,32,9.0,inches
Pepe Jeans,Trouser,Male,Slim,30,Small,31,32,9.5,inches
Pepe Jeans,Trouser,Male,Slim,32,Medium,33,32,10.0,inches
Pepe Jeans,Trouser,Male,Slim,34,Large,35,32,10.5,inches
Pepe Jeans,Trouser,Male,Slim,36,X-Large,37,32,11.0,inches
Pepe Jeans,Trouser,Male,Slim,38,XX-Large,39,32,11.5,inches
Pepe Jeans,Trouser,Male,Slim,40,3X-Large,41,32,12.0,inches
Ruggers by Unlimited,Trouser,Male,Slim,28,28,29-30,33.5,10.0,inches
Ruggers by Unlimited,Trouser,Male,Slim,30,30,31-32,33.5,10.3,inches
Ruggers by Unlimited,Trouser,Male,Slim,32,32,33-34,33.5,10.5,inches
Ruggers by Unlimited,Trouser,Male,Slim,34,34,35-36,33.5,10.8,inches
Ruggers by Unlimited,Trouser,Male,Slim,36,36,37-38,33.5,11.0,inches
VERSATYL,Trouser,Male,Slim,28,28,29.0,34.00,13.00,inches
VERSATYL,Trouser,Male,Slim,30,30,31.0,34.00,13.5,inches
VERSATYL,Trouser,Male,Slim,32,32,33.0,34.00,14.00,inches
VERSATYL,Trouser,Male,Slim,34,34,35.0,34.00,14.5,inches
VERSATYL,Trouser,Male,Slim,36,36,37.0,34.00,15.00,inches
VERSATYL,Trouser,Male,Slim,38,38,39,34.00,15.5,inches
VERSATYL,Trouser,Male,Slim,40,40,41.00,34.00,16.00,inches
VERSATYL,Trouser,Male,Slim,42,42,43,34.00,16.5,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,29,32,13,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,35,32,14,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,29,32,12,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,35,32,13,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,26-30,29,9,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,32-36,29,10.5,inches
Levi's,Trouser,Male,Slim,Small,S,28-30,28-30,,inches
Levi's,Trouser,Male,Slim,Medium,M,32-34,32-34,,inches
Levi's,Trouser,Male,Slim,Large,L,36-38,36-38,,inches
Levi's,Trouser,Male,Slim,X-Large,XL,40-42,40-42,,inches
Levi's,Trouser,Male,Slim,Small,S,28-30,28-30,,inches
Levi's,Trouser,Male,Slim,Medium,M,32-34,32-34,,inches
Levi's,Trouser,Male,Slim,Large,L,36-38,36-38,,inches
Levi's,Trouser,Male,Slim,X-Large,XL,40-42,40-42,,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,28,28,29,32,13,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,36,36,37,32,15,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,32,32,33,32,13,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,28,28,29,32,12.5,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,36,36,37,32,14.5,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,32,32,30-34,29,10,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
Peter England,Trouser,Male,Slim,28,72,29,34.5,,inches
Peter England,Trouser,Male,Slim,34,86,35,33.8,,inches
Peter England,Trouser,Male,Slim,40,102,41,33.0,,inches
Peter England,Trouser,Male,Slim,30,76,31.3,43.5,,inches
Peter England,Trouser,Male,Slim,36,92,37.3,43.5,,inches
Peter England,Trouser,Male,Slim,42,108,43.3,43.5,,inches
Peter England,Trouser,Male,Slim,32,82,32.5,34.0,,inches
Peter England,Trouser,Male,Slim,38,96,38.5,33.3,,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,29,32,13,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,35,32,14,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,29,32,12,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,35,32,13,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,26-30,29,9,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,32-36,29,10.5,inches
Monte Carlo,Trouser,Male,Relaxed,28,28,28,37,,inches
Monte Carlo,Trouser,Male,Relaxed,30,30,30,37,,inches
Monte Carlo,Trouser,Male,Relaxed,32,32,32,37,,inches
Monte Carlo,Trouser,Male,Relaxed,34,34,34,37,,inches
Monte Carlo,Trouser,Male,Relaxed,36,36,36,37,,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,29,32,13,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,35,32,14,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,29,32,12,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,35,32,13,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,26-30,29,9,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,32-36,29,10.5,inches
Diverse,Trouser,Male,Slim,30,30,32,33,,inches
Diverse,Trouser,Male,Slim,32,32,34,33,,inches
Diverse,Trouser,Male,Slim,34,34,36,33,,inches
Diverse,Trouser,Male,Slim,36,36,38,33,,inches
Diverse,Trouser,Male,Slim,38,38,40,33,,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
Van Heusen Sport,Trouser,Male,Slim,28,28,28,33,,inches
Van Heusen Sport,Trouser,Male,Slim,30,30,30,33,,inches
Van Heusen Sport,Trouser,Male,Slim,32,32,32,33,,inches
Van Heusen Sport,Trouser,Male,Slim,34,34,34,33,,inches
Van Heusen Sport,Trouser,Male,Slim,36,36,36,33,,inches
Van Heusen Sport,Trouser,Male,Slim,38,38,38,33,,inches
Arrow Sports,Trouser,Male,Straight,30,30,31,34,,inches
Arrow Sports,Trouser,Male,Straight,32,32,33,34,,inches
Arrow Sports,Trouser,Male,Straight,34,34,35,34,,inches
Arrow Sports,Trouser,Male,Straight,36,36,37,34,,inches
Arrow Sports,Trouser,Male,Straight,38,38,39,34,,inches
Arrow Sports,Trouser,Male,Straight,40,40,41,34,,inches
Arrow Sports,Trouser,Male,Straight,42,42,43,34,,inches
Diverse,Trouser,Male,Slim,30,30,32,33,,inches
Diverse,Trouser,Male,Slim,32,32,34,33,,inches
Diverse,Trouser,Male,Slim,34,34,36,33,,inches
Diverse,Trouser,Male,Slim,36,36,38,33,,inches
Diverse,Trouser,Male,Slim,38,38,40,33,,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,29,32,13,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,35,32,14,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,29,32,12,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,35,32,13,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,26-30,29,9,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,32-36,29,10.5,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,29,32,13,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,35,32,14,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,29,32,12,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,35,32,13,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,26-30,29,9,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,32-36,29,10.5,inches
Diverse,Trouser,Male,Slim,30,30,32,33,,inches
Diverse,Trouser,Male,Slim,32,32,34,33,,inches
Diverse,Trouser,Male,Slim,34,34,36,33,,inches
Diverse,Trouser,Male,Slim,36,36,38,33,,inches
Diverse,Trouser,Male,Slim,38,38,40,33,,inches
pdpm,Trouser,Male,Slim,26,26,27,,,inches
pdpm,Trouser,Male,Slim,28,28,29,,,inches
pdpm,Trouser,Male,Slim,30,30,31,,,inches
pdpm,Trouser,Male,Slim,32,32,33,,,inches
pdpm,Trouser,Male,Slim,34,34,35,,,inches
pdpm,Trouser,Male,Slim,36,36,37,,,inches
Novarc,Trouser,Male,Slim,28,28,29-30,34,9.5,inches
Novarc,Trouser,Male,Slim,32,32,33-34,34,10,inches
Novarc,Trouser,Male,Slim,36,36,37-38,34,10.5,inches
Novarc,Trouser,Male,Slim,40,40,41-42,34,11,inches
Novarc,Trouser,Male,Slim,30,30,31-32,33.50,10.25,inches
Novarc,Trouser,Male,Slim,34,34,35-36,33.50,10.75,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
Lee Cooper,Trouser,Male,Slim,,,28.4,34,8.5,inches
Lee Cooper,Trouser,Male,Slim,,,36.4,34,10,inches
Lee Cooper,Trouser,Male,Slim,,,30.4,34,8.88,inches
Lee Cooper,Trouser,Male,Slim,,,38.8,34,10.38,inches
Lee Cooper,Trouser,Male,Slim,,,32.4,34,10.5,inches
Lee Cooper,Trouser,Male,Slim,,,40.8,34,11.5,inches
Lee Cooper,Trouser,Male,Slim,,,34.4,34,10,inches
Indian Terrain,Trouser,Male,Skinny,28W x 33L,28,30,34,,inches
Indian Terrain,Trouser,Male,Skinny,36W x 33L,36,38,34,,inches
Indian Terrain,Trouser,Male,Skinny,44W x 33L,44,46,34,,inches
Indian Terrain,Trouser,Male,Skinny,32W x 33L,32,34,34,,inches
Indian Terrain,Trouser,Male,Skinny,40W x 33L,40,42,34,,inches
Indian Terrain,Trouser,Male,Skinny,28W x 33L,28,30.3,34,,inches
Indian Terrain,Trouser,Male,Skinny,36W x 33L,36,37.8,34,,inches
Indian Terrain,Trouser,Male,Skinny,44W x 33L,44,45.8,34,,inches
Indian Terrain,Trouser,Male,Skinny,32W x 33L,32,34,34,,inches
Indian Terrain,Trouser,Male,Skinny,40W x 33L,40,41,34,,inches
Pepe Jeans,Trouser,Male,Slim,28,X-Small,29,32,9.0,inches
Pepe Jeans,Trouser,Male,Slim,30,Small,31,32,9.5,inches
Pepe Jeans,Trouser,Male,Slim,32,Medium,33,32,10.0,inches
Pepe Jeans,Trouser,Male,Slim,34,Large,35,32,10.5,inches
Pepe Jeans,Trouser,Male,Slim,36,X-Large,37,32,11.0,inches
Pepe Jeans,Trouser,Male,Slim,38,XX-Large,39,32,11.5,inches
Pepe Jeans,Trouser,Male,Slim,40,3X-Large,41,32,12.0,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,29,32,13,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,35,32,14,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,29,32,12,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,35,32,13,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,26-30,29,9,inches
Amazon Brand - Symbol,Trouser,Male,Regular,34,34,32-36,29,10.5,inches
Peter England,Trouser,Male,Slim,28,72,29,34.5,,inches
Peter England,Trouser,Male,Slim,34,86,35,33.8,,inches
Peter England,Trouser,Male,Slim,40,102,41,33.0,,inches
Peter England,Trouser,Male,Slim,30,76,31.3,43.5,,inches
Peter England,Trouser,Male,Slim,36,92,37.3,43.5,,inches
Peter England,Trouser,Male,Slim,42,108,43.3,43.5,,inches
Peter England,Trouser,Male,Slim,32,82,32.5,34.0,,inches
Peter England,Trouser,Male,Slim,38,96,38.5,33.3,,inches
Diverse,Trouser,Male,Slim,30,30,32,33,,inches
Diverse,Trouser,Male,Slim,32,32,34,33,,inches
Diverse,Trouser,Male,Slim,34,34,36,33,,inches
Diverse,Trouser,Male,Slim,36,36,38,33,,inches
Diverse,Trouser,Male,Slim,38,38,40,33,,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
Levi's,Trouser,Male,Slim,Small,S,28-30,28-30,,inches
Levi's,Trouser,Male,Slim,Medium,M,32-34,32-34,,inches
Levi's,Trouser,Male,Slim,Large,L,36-38,36-38,,inches
Levi's,Trouser,Male,Slim,X-Large,XL,40-42,40-42,,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
Amazon Brand - House & Shields,Trouser,Male,Regular Fit,S,S,,,,inches
Amazon Brand - House & Shields,Trouser,Male,Regular Fit,M,M,,,,inches
Amazon Brand - House & Shields,Trouser,Male,Regular Fit,L,L,,,,inches
Amazon Brand - House & Shields,Trouser,Male,Regular Fit,XL,XL,,,,inches
Amazon Brand - House & Shields,Trouser,Male,Regular Fit,XXL,XXL,,,,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
Novarc,Trouser,Male,Slim,28,28,29-30,34,9.5,inches
Novarc,Trouser,Male,Slim,32,32,33-34,34,10,inches
Novarc,Trouser,Male,Slim,36,36,37-38,34,10.5,inches
Novarc,Trouser,Male,Slim,40,40,41-42,34,11,inches
Novarc,Trouser,Male,Slim,30,30,31-32,33.50,10.25,inches
Novarc,Trouser,Male,Slim,34,34,35-36,33.50,10.75,inches
Ezee Sleeves,Trouser,Male,Regular,S,Small,28-30,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,M,Medium,32,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,L,Large,34-36,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,XL,X-Large,38-40,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,2XL,2X-Large,42-44,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,3XL,3X-Large,46-48,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,4XL,4X-Large,50-54,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,5XL,5X-Large,56-60,33,45,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,28,28,29,32,13,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,36,36,37,32,15,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,32,32,33,32,13,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,28,28,29,32,12.5,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,36,36,37,32,14.5,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,32,32,30-34,29,10,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,28,28,29,32,13,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,36,36,37,32,15,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,32,32,33,32,13,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,28,28,29,32,12.5,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,36,36,37,32,14.5,inches
Amazon Brand - Inkast Denim Co.,Trouser,Male,,32,32,30-34,29,10,inches
Van Heusen Sport,Trouser,Male,Slim,28,28,28,33,,inches
Van Heusen Sport,Trouser,Male,Slim,30,30,30,33,,inches
Van Heusen Sport,Trouser,Male,Slim,32,32,32,33,,inches
Van Heusen Sport,Trouser,Male,Slim,34,34,34,33,,inches
Van Heusen Sport,Trouser,Male,Slim,36,36,36,33,,inches
Van Heusen Sport,Trouser,Male,Slim,38,38,38,33,,inches
Amazon Brand - Symbol,Trouser,Male,Regular,28,28,29,32,13,inches
